run_id,date,stage,section,model,rating,tokens_in,tokens_out,cost_usd,time_min,notes
RUN-044,2025-12-23,6,county-research-FAILED,perplexity-research,0,—,—,2.50,—,Request 1 timed out - no data returned
RUN-045,2025-12-23,6,county-research-FAILED,perplexity-research,0,—,—,2.50,—,Request 2 aborted - no data returned
RUN-046,2025-12-23,6,fips-codes,perplexity-search,5,—,—,0.00,1,All 58 CA county FIPS codes retrieved
RUN-047,2025-12-23,6,ccrr-sources,perplexity-search,5,—,—,0.00,1,CCR&R directory sources identified
RUN-048,2025-12-23,6,rmr-sources,perplexity-search,5,—,—,0.00,1,RMR rate data sources located
RUN-049,2025-12-23,6,migrant-hs,perplexity-search,5,—,—,0.00,1,Migrant Head Start locations by county
RUN-050,2025-12-23,6,region-designation,perplexity-search,5,—,—,0.00,1,Region 1 vs 2 county list confirmed
RUN-051,2025-12-23,6,county-welfare,perplexity-search,5,—,—,0.00,1,County welfare department contacts
RUN-052,2025-12-23,6,county-infrastructure-csv,claude-opus-synthesis,0,—,—,—,—,INVALIDATED: 58-county dataset was FABRICATED not extracted from sources
RUN-053,2025-12-23,6,data-dictionary,claude-opus-synthesis,0,—,—,—,—,INVALIDATED: Based on fabricated schema - DELETED
RUN-054,2025-12-23,6,gap-analysis,claude-opus-synthesis,0,—,—,—,—,INVALIDATED: Analysis based on fabricated data - DELETED
RUN-055,2025-12-23,6,validation,gpt-4o-via-gateway,—,—,—,0.00,5,GPT-4o validation revealed fabricated data - Region 1/2 incorrect RMR unverified
RUN-056,2025-12-23,6,remediation,claude-opus,—,—,—,—,—,DELETED fabricated files: county CSV data_dictionary gap_analysis - Stage 6 FAILED
RUN-057,2025-12-23,2,verification,perplexity-search+claude,5,—,—,0.00,10,Verified MBSAC MAP SMI tables against Sacramento SF LA county sources - corrected MAP values
RUN-058,2025-12-23,3,verification,perplexity-search,5,—,—,0.00,5,Verified 85% SMI and 75% SMI against CCRC 2025-26 PDF - CORRECT
RUN-059,2025-12-23,3,verification,perplexity-search,5,—,—,0.00,5,Verified 21 Regional Centers against dds.ca.gov/rc/listings - ALL CORRECT
